Date,News,News_Sentiment
2021-09-30,"- TSLA stock experienced volatility amid general market trends.
- Investors focused on Tesla's expansion plans and production updates.",neutral
2021-10-01,"- TSLA announced record Q3 delivery numbers, surpassing expectations.
- Stock price surged, boosting investor confidence in Tesla's growth trajectory.",positive
2021-10-02,"- TSLA Q3 deliveries exceed expectations, boosting investor confidence.
- Stock price reacts positively to strong sales performance.",positive
2021-10-03,"- Tesla Q3 deliveries exceeded expectations, boosting investor confidence.
- TSLA stock hit a record high, traders optimistic about future growth.",positive
2021-10-04,"- TSLA Q3 production and delivery numbers exceeded Wall Street expectations.
- Stock price surged in response to positive sales reports.",positive
2021-10-05,"- TSLA reported strong Q3 delivery numbers, exceeding expectations.
- Stock price surged in response to positive delivery news.
- Traders optimistic about TSLA's future performance.",positive
2021-10-06,"- TSLA reported record Q3 deliveries, surpassing Wall Street estimates.
- Stock price surged, traders optimistic about future growth potential.",positive
2021-10-07,"- TSLA Q3 delivery numbers exceed expectations.
- Stock price hits new high post-delivery report.",positive
2021-10-08,"- TSLA stock sees gains amidst overall positive market sentiments.
- Tesla’s sales numbers continue to impress investors.",positive
2021-10-09,"- No specific TSLA daily news for 2021-10-09 available in training data.
- General sentiment was cautiously optimistic amid ongoing production challenges.",neutral
2021-10-10,"- Tesla sales in China surged, boosting investor confidence.
- TSLA stock outperformed market expectations, reaching new highs.",positive
2021-10-11,"- TSLA stock rises amid global electric vehicle market growth optimism.
- Traders optimistic on Tesla's upcoming Q3 earnings report expectations.",positive
2021-10-12,"- TSLA achieved record Q3 deliveries, boosting investor confidence.
- Stock continues upward trend, traders optimistic about growth.",positive
2021-10-13,"- TSLA saw increased volatility amid global chip shortage concerns.
- Traders optimistic after strong Q3 delivery numbers.",positive
2021-10-14,"- TSLA stock rallied, investors optimistic about delivery numbers and sales growth.
- Elon Musk's tweets continued to influence stock volatility.",positive
2021-10-15,"- TSLA stock reaches all-time high, investors optimistic.
- Increased production forecasts bolster confidence.",positive
2021-10-16,"- TSLA hit record high, investors optimistic about future growth.
- Tesla's Full Self-Driving software beta roll-out boosts stock momentum.",positive
2021-10-17,"- TSLA continues strong performance, traders optimistic about Q3 earnings.
- Discussions on supply chain impacts, but sentiment remains high.",positive
2021-10-18,"- TSLA announced record deliveries, boosting investor confidence.
- Stock price surged, traders optimistic about growth potential.",positive
2021-10-19,"- TSLA stock surged reaching new record highs.
- Strong Q3 earnings anticipation fueled positive sentiment.",positive
2021-10-20,"- TSLA stock surged due to strong Q3 earnings beat.
- Traders bullish, anticipate more growth amid EV demand.",positive
2021-10-21,"- TSLA's Q3 earnings exceeded Wall Street expectations.
- Stock hits new all-time high following earnings report.",positive
2021-10-22,"- TSLA stock hits new all-time high.
- Strong Q3 earnings fuel investor optimism.",positive
2021-10-23,"- TSLA stock hit new highs amid strong Q3 earnings.
- Hertz announced a massive order of 100,000 Teslas.",positive
2021-10-24,"- TSLA reported strong Q3 earnings, surpassing Wall Street expectations.
- Hertz announced a massive order of 100,000 Teslas, boosting investor confidence.",positive
2021-10-25,"- TSLA stock hit record high, surpassing $1 trillion market cap.
- Hertz announced a massive order of 100,000 Tesla vehicles.",positive
2021-10-26,"- TSLA reached a record high, surpassing a $1 trillion market valuation.
- Hertz announced a large order of 100,000 Teslas, boosting investor confidence.",positive
2021-10-27,"- TSLA hit record high, surpassing $1,000 per share.
- Hertz announced a large purchase of 100,000 Tesla vehicles.",positive
2021-10-28,"- TSLA stock hits all-time high, surpassing $1,000 mark.
- Hertz announced large order of 100,000 Teslas, boosting investor confidence.",positive
2021-10-29,"- TSLA stock hit record highs following strong Q3 earnings report.
- Hertz announced large order of 100,000 Tesla vehicles, boosting sentiment.",positive
2021-10-30,"- TSLA stock hits all-time high after Hertz orders 100,000 Teslas.
- Market sentiment is strong; investors optimistic about EV future.",positive
2021-10-31,"- TSLA reached a record market value, exceeding $1 trillion.
- Hertz announced a significant order for 100,000 Teslas.",positive
2021-11-01,"- TSLA stock hit all-time high, surpassing $1,200 per share.
- Hertz announced a large order of 100,000 Tesla vehicles.",positive
2021-11-02,"- TSLA stock hit record high following Hertz order for 100,000 Teslas.
- Musk polled Twitter about selling 10% of his Tesla stock.",positive
2021-11-03,"- TSLA stock price reached an all-time high.
- Elon Musk polled Twitter about selling 10% of his TSLA shares.",negative
2021-11-04,"- Elon Musk proposed selling 10% of his TSLA stock via Twitter poll.
- TSLA stock experienced a significant drop following Musk's Twitter poll announcement.",negative
2021-11-05,"- TSLA stock experienced significant volatility due to Elon Musk's Twitter poll about selling 10% of his stock.
- Investors showed mixed reactions; some worried about potential sale impact on stock price.",negative
